Tier,Attack Style,Name,Slot,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defense,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic strength,Prayer,Weight,3d Model,Model Color,File Paths
BIS,Melee,OSRS Melee BIS,Set,80,117,78,-45,-51,293,366,283,9,261,72,0,0,4,,,,
3,Melee,TP Melee BIS,Set,80,117,78,-45,-51,147,183,142,5,131,72,0,0,9,,Nordic,Wh or Br,
2,Melee,TP Melee 80%,Set,64,94,62,-54,-61,117,146,113,4,104,58,0,0,6,,Sentinel,White,
1,Melee,TP Melee 60%,Set,48,70,47,-63,-71,88,110,85,3,78,43,0,0,3,,Sentinel,Grey,
BIS,Ranged,OSRS Ranged BIS,Set,-10,-11,-10,-6,176,153,149,170,173,182,0,33,0,6,,,,
3,Ranged,TP Ranged BIS,Set,-10,-11,-10,-6,176,77,75,85,87,91,0,33,0,9,,Reaper,Green,
2,Ranged,TP Ranged 80%,Set,-12,-13,-12,-7,141,61,60,68,69,73,0,26,0,6,,Thief,Green,
1,Ranged,TP Ranged 60%,Set,-14,-15,-14,-8,106,46,45,51,52,55,0,20,0,3,,Thief,Brown,
BIS,Magic,OSRS Magic BIS,Set,5,5,5,167,-6,173,167,202,85,67,0,0,32,8,,,,
3,Magic,TP Ranged BIS,Set,5,5,5,167,-6,87,84,101,43,34,0,0,32,9,,Shadow Mage,Blue,
2,Magic,TP Ranged 80%,Set,4,4,4,134,-7,69,67,81,34,27,0,0,26,6,,Tomb Seeker,Purple,
1,Magic,TP Ranged 60%,Set,3,3,3,100,-8,52,50,61,26,20,0,0,19,3,,Tomb Seeker,Cyan,
0,Novice,TP Novice 25%,Set,20,29,20,42,44,37,46,35,22,33,18,8,8,0,,None yet,None yet,
,,,,,,,,,,,,,,,,,,,,,
Melee Sets,,,,,,,,,,,,,,,,,,,,,
3,Melee,TP Melee BIS,Set,80,117,78,-45,-51,146.5,183,141.5,4.5,130.5,72,0,0,9,,Nordic,Wh or Br,
3,Melee,Reaper Helmet,Head,10,14.625,9.75,-5.625,-6.375,18.3125,22.875,17.6875,0.5625,16.3125,9,0,0,1.125,0,Nordic,Wh or Br,
3,Melee,Reaper Chestplate,Torso,10,14.625,9.75,-5.625,-6.375,18.3125,22.875,17.6875,0.5625,16.3125,9,0,0,1.125,0,Nordic,Wh or Br,
